,Title,Monitor,Processor,RAM,Dysk,GPU,System,Prices
0,2w1 ASUS ZenBook Flip 13 UX363EA-HP044R FHD i7-1165G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",Intel Iris Xe,Windows 10 Pro PL,6499
1,2w1 DELL Inspiron 13 7306 UHD Dotykowy i7-1165G7,"13.3"" (3840 x 2160 (Ultra HD 4K))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,6799
2,2w1 DELL XPS 13 9310 FHD+ Dotykowy i7-1165G7,"13.4"" (1920 x 1200)",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,8999
3,2w1 MICROSOFT Surface Book 2 13.5 i7-8650U,"13.5"" (3000 x 2000)",Intel® Core™ i7-8650U,8 GB DDR3,256 GB,NVIDIA GeForce GTX 1050 2GB GDDR5,Windows 10 Pro PL,9797
4,2w1 MICROSOFT Surface Book 3 13 Dotykowy i5-1035G7,"13.5"" (3000 x 2000)",Intel® Core™ i5-1035G7,8 GB DDR4,"PCIe , 256 GB",Intel Iris Plus,Windows 10 Home PL,7639
5,2w1 MICROSOFT Surface Pro Core M3-7Y30,"12.3"" (2736 x 1824)",Intel® Core™ m3-7Y30,4 GB,128 GB,Intel HD 615,Windows 10 Pro PL,2097
6,ACER Aspire 3 A315-35-C6X3 NX.A6LEP.002 HD Celeron N4500,"15.6"" (1366 x 768 (HD))",Intel® Celeron® N4500,4 GB DDR4,256 GB,Intel UHD,Windows 10 Home PL,1899
7,ACER Aspire 3 A315-35-C83K HD Celeron N4500,"15.6"" (1366 x 768 (HD))",Intel® Celeron® N4500,8 GB DDR4,512 GB,Intel UHD,Windows 10 Home PL,2099
8,ACER Aspire 3 A317-33-C3UY FHD Celeron N4500,"17.3"" (1920 x 1080 (Full HD))",Intel® Celeron® N4500,8 GB DDR4,256 GB,Intel UHD,Windows 10 Home PL,2199
9,ACER Aspire 5 A514-52-306T NX.HDREP.001 i3-8145U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i3-8145U,4 GB DDR4,"NVMe , PCIe , 128 GB",Intel UHD 620,Windows 10 Home (w wersji S),1997
10,ACER Aspire 5 A514-54-307L NX.A27EP.005 FHD i3-1115G4,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1115G4,8 GB DDR4,"NVMe , PCIe , 256 GB",Intel UHD,Windows 10 Home PL,2599
11,ACER Aspire 5 A514-54-506P NX.A27EP.003 FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,8 GB DDR4,"NVMe , PCIe , 512 GB",Intel Iris Xe,Windows 10 Home PL,3199
12,ACER Aspire 5 A515-44-R5B5 NX.HW4EP.005 FHD Ryzen 5 4500U,"15.6"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,8 GB DDR4,512 GB,AMD Radeon,Windows 10 Home PL,2799
13,ACER Aspire 5 A515-54G-50NK NX.HN0EP.001 i5-10210U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"NVMe , PCIe , 1 TB",NVIDIA GeForce MX250 2GB GDDR5,Windows 10 Home PL,2699
14,ACER Aspire 5 A515-55-51EC NX.HSHEP.001 FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"NVMe , PCIe , 512 GB",Intel UHD,Windows 10 Home PL,2399
15,ACER Aspire 5 A515-55-550H FHD i5-1035G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,16 GB DDR4,"NVMe , PCIe , 512 GB",Intel UHD,Windows 10 Home PL,3299
