,Title,GPU,RAM,Processor,Monitor,System,Prices
0,Acer Aspire 1 (UN.EFMSI.298),Brak,4 GB,Intel Pentium 4415U,"14""",Windows 10 Home,1199.0
1,Acer Aspire 3 (A315-56-594WDX),Brak,12 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3261.38
2,Acer Aspire 3 (NX.A0TAA.005),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3771.13
3,Acer Aspire 3 (NX.HT8EP.002),Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2099.0
4,Acer Aspire 3 (NX.HT8EP.002) 12 GB RAM,Brak,12 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2545.77
5,Acer Aspire 3 (NX.HT8EP.002) 12 GB RAM,Brak,12 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2363.66
6,Acer Aspire 3 (NX.HT8EP.002) 4 GB RAM,Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2372.27
7,Acer Aspire 3 (NX.HT8EP.002) 8 GB RAM,Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2488.89
8,Acer Aspire 3 (NX.HT8EP.002) 8 GB RAM,Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2306.78
9,Acer Aspire 3 (NX.HXDEP.001),Brak,4 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1599.99
10,Acer Aspire 3 (NX.HXDEP.001) 12 GB RAM,Brak,12 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1633.74
11,Acer Aspire 3 (NX.HXDEP.001) 12 GB RAM,Brak,12 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1857.85
12,Acer Aspire 3 (NX.HXDEP.001) 12 GB RAM,Brak,12 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1811.46
13,Acer Aspire 3 (NX.HXDEP.001) 4 GB RAM,Brak,4 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1684.35
14,Acer Aspire 3 (NX.HXDEP.001) 4 GB RAM,Brak,4 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1637.96
15,Acer Aspire 3 (NX.HXDEP.001) 8 GB RAM,Brak,8 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1800.97
16,Acer Aspire 3 (NX.HXDEP.001) 8 GB RAM,Brak,8 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1576.86
17,Acer Aspire 3 (NX.HXDEP.001) 8 GB RAM,Brak,8 GB,Intel Celeron N4020,"15.6""",Windows 10 Home,1754.58
18,Acer Aspire 3 A315-23-R4NP,Brak,8 GB,AMD Athlon Silver 3050e,"15.6""",Windows 10 Home,2343.83
19,Acer Aspire 3 A315-42 (NX.HF9EP.00B),Brak,8 GB,AMD Ryzen 7 3700U,"15.6""",Brak,2620.99
20,Acer Aspire 3 A315-56 (NX.A0TAA.005),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3159.43
21,Acer Aspire 3 A315-56 (NX.A0TAA.005),Brak,12 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3390.8
22,Acer Aspire 3 A315-56 (NX.A0TAA.005),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,2884.59
23,Acer Aspire 3 A315-56 (NX.A0TAA.005),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3210.41
24,Acer Aspire 3 A315-56 (NX.HS5EP.008),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,2499.0
25,Acer Aspire 3 A315-56 (NX.HS6EP.00A),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,2599.0
26,Acer Aspire 3 A315-56 (NX.HS7EP.005),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,2923.27
27,Acer Aspire 3 A315-56 (NX.HS7EP.00B),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,2499.0
28,Acer Aspire 3 A315-56 (NX.HTAEP.001),Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 S,2259.38
29,Acer Aspire 3 A315-56 (NX.HTAEP.001) 12 GB RAM,Brak,12 GB,Intel Core i3-1005G1,"15.6""",Windows 10 S,2363.66
30,Acer Aspire 3 A315-56 (NX.HTAEP.001) 12 GB RAM,Brak,12 GB,Intel Core i3-1005G1,"15.6""",Windows 10 S,2545.77
31,Acer Aspire 3 A315-56 (NX.HTAEP.001) 4 GB RAM,Brak,4 GB,Intel Core i3-1005G1,"15.6""",Windows 10 S,2372.27
32,Acer Aspire 3 A315-56 (NX.HTAEP.001) 8 GB RAM,Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 S,2306.78
33,Acer Aspire 3 A315-56 (NX.HTAEP.001) 8 GB RAM,Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 S,2488.89
34,Acer Aspire 3 A315-56-594W (NX.A0TAA.005),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,2699.0
35,Acer Aspire 3 A315-56-594WDX (NX.A0TAA.005),Brak,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3050.8
36,Acer Aspire 3 A315-57G (NX.HZREH.002),NVIDIA GeForce MX330,8 GB,Intel Core i5-1035G1,"15.6""",Windows 10 Home,3255.0
37,Acer Aspire 3 A315-57G (NX.HZREH.00D),NVIDIA GeForce MX330,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2799.0
38,Acer Aspire 3 A315-58 (NX.ADDEP.002),Brak,16 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Home,3599.0
39,Acer Aspire 3 A317-32 (NX.HF2EH.015),Brak,4 GB,Intel Celeron N4120,"17.3""",Windows 10 Home,1990.94
40,Acer Aspire 5 A514-53-54KN (NX.A69EL.002),Brak,8 GB,Intel Core i5-1035G1,"14""",Windows 10 Home,2967.91
41,Acer Aspire 5 A514-53-57AB (NX.A69EL.001),Brak,8 GB,Intel Core i5-1035G1,"14""",Windows 10 Home,3100.58
42,Acer Aspire 5 A515-43 (NX.HG8AA.001),Brak,4 GB,AMD Ryzen 3 3200U,"15.6""",Windows 10 Home,2447.22
